accession id	name	scientific name	source database	taxId	length	entry protein locations	gene names
A0A024QZ42	EF-hand domain-containing protein	Homo sapiens	unreviewed	9606	121	23..84	PDCD6
A0A024R084	45 kDa calcium-binding protein	Homo sapiens	unreviewed	9606	362	101..163	SDF4
A0A024R0A9	45 kDa calcium-binding protein	Homo sapiens	unreviewed	9606	348	101..163	SDF4
A0A024R1K9	Parvalbumin	Homo sapiens	unreviewed	9606	110	43..106	PVALB
A0A024R493	EF-hand domain-containing protein	Homo sapiens	unreviewed	9606	239	93..152	EFHD1
A0A024R5K4	EF-hand domain-containing protein	Homo sapiens	unreviewed	9606	170	105..165	CABP4
A0A024R5R2	NAD(P)H oxidase (H2O2-forming)	Homo sapiens	unreviewed	9606	1318	621..690	DUOX1
A0A024R755	EF-hand domain-containing protein	Homo sapiens	unreviewed	9606	315	71..133	CALU
A0A024R7U5	EF-hand domain-containing protein	Homo sapiens	unreviewed	9606	211	102..173	EFCAB1
A0A024R7U7	EF-hand domain-containing protein	Homo sapiens	unreviewed	9606	159	50..121	EFCAB1
A0A024R889	Spectrin, alpha, non-erythrocytic 1 (Alpha-fodrin), isoform CRA_g	Homo sapiens	unreviewed	9606	2452	2310..2375	SPTAN1
A0A024R8B2	EF-hand domain-containing protein	Homo sapiens	unreviewed	9606	190	99..171	FREQ
A0A024R9M9	EF-hand domain-containing protein	Homo sapiens	unreviewed	9606	195	113..179	CHP
A0A024RBE4	EF-hand domain-containing protein	Homo sapiens	unreviewed	9606	293	186..245	CAPS2
A0A024RBZ9	Serine/threonine-protein phosphatase with EF-hands	Homo sapiens	unreviewed	9606	653	569..636	PPEF1
A0A024RDT4	Lymphocyte cytosolic protein 1 (L-plastin), isoform CRA_a	Homo sapiens	unreviewed	9606	627	13..78	LCP1
A0A024RE22	EF-hand domain-containing protein	Homo sapiens	unreviewed	9606	256	165..239	KCNIP3
A0A087WTU8	EF-hand domain-containing protein	Homo sapiens	unreviewed	9606	207	116..189	KCNIP1
A0A087WZ38	EF-hand domain-containing protein	Homo sapiens	unreviewed	9606	123	30..86	PDCD6
A0A0A0MS16	EF-hand domain-containing protein	Homo sapiens	unreviewed	9606	220	129..202	KCNIP1
